Name_MOF_CoRE_1272,PLD_angstrom,LCD_angstrom,unit_cell_volume_angstrom3,void_fraction,,Henry's constant: mol/(m^3 Pa),,D0 in a: m^2/s,D0 in b: m^2/s,D0 in c: m^2/s
CIFDUS_clean,3.78739,6.00563,2730.01,0.59634,,0.485306078,,3.00E-08,2.13E-08,0
CIFGUV_clean,2.56292,2.90511,1512.87,0.3408,,59.80998952,,0,1.11E-10,0
CIFJAE_clean,5.20349,5.95993,1240.37,0.55088,,0.745137669,,0,0,0
CIFLUA_clean,7.51577,9.13594,9726.18,0.6712,,0.269808649,,0,3.51E-08,1.52E-08
CIFMAH_clean,8.65367,10.74556,9625.78,0.68042,,0.264849096,,4.65E-09,5.46E-08,1.75E-08
CIFMEL_clean,5.57401,8.27542,3145.38,0.75748,,0.036458567,,1.32E-07,1.09E-07,1.08E-07
CIFMIP_clean,6.537,7.96743,3718.15,0.62018,,0.173301611,,4.51E-08,4.42E-08,4.93E-08
CIGDUT_clean,3.60488,4.82176,3261.07,0.50044,,1.393921515,,0,2.63E-08,0
CIGFAB_clean,3.57029,4.8673,3251.19,0.48974,,1.358750876,,4.27E-08,3.73E-08,0
CIGFEF_clean,3.26383,4.88251,1696.29,0.52762,,0.977752704,,0,3.59E-08,5.09E-12
CIGXIA_manual,12.41843,28.38647,98620,0.76088,,4.667744724,,0,0,0
CIGYAU_clean,2.27271,3.80812,1939.4,0.37466,,14.20023306,,0,0,0
CIJVOH01_clean,4.04196,5.51691,1736.4,0.69758,,0.096797539,,6.44E-08,5.27E-08,2.11E-08
CIJVOH_clean,4.00699,5.45444,1716.21,0.69076,,0.098025957,,6.88E-08,5.25E-08,1.33E-08
CIKCOQ_clean,2.4798,4.07219,1562.24,0.46388,,3.567041468,,0,0,2.72E-13
CIKGUZ_clean,2.92042,4.78199,6870.32,0.4996,,2.023035268,,1.85E-10,2.26E-277,0
CILDAD_clean,2.17706,2.76985,1626.88,0.29188,,0.00044611,,8.58E-21,0,0
CILFIN_clean,6.56021,8.58328,2269.25,0.62986,,3.938149654,,2.35E-08,1.31E-08,3.01E-08
CIMFOV_clean,2.78361,5.57391,7195.69,0.40936,,585.8632623,,0,0,3.44E-25
CIMTAV_charged,4.08629,7.00894,19030.8,0.45232,,0.143658917,,1.82E-08,0,0
CIMTEZ_charged,5.43188,8.11061,18694.8,0.50326,,1.690337694,,0,0,8.14E-10
CIPCUB_clean,3.34579,4.59556,3767.05,0.46638,,2.119713486,,1.04E-07,5.96E-291,4.76E-08
CIPLIX_clean,3.42119,3.85929,3018.15,0.5494,,1.764796533,,0,1.45E-07,0
CIPREZ_charged,2.83219,4.42898,3852.15,0.37318,,1.122940082,,0,0,0
CIPRID_charged,2.71254,4.14541,3722.13,0.35536,,1.363755645,,0,0,0
CIQQIE_clean,3.66902,6.05089,22236.3,0.54418,,2.693255355,,0,0,0
CIQYUX_clean,2.24849,3.32631,3205.52,0.39518,,0.014122782,,1.10E-34,0,0
CIRTUU_clean,6.84785,15.2109,44137.2,0.76472,,0.219862507,,1.79E-08,1.88E-08,0
CISLUN_clean,4.4838,5.5376,2962.78,0.61576,,0.285744255,,1.12E-08,1.45E-08,1.10E-07
CISMAT01_clean,2.41486,4.04399,639.145,0.43968,,19.93790571,,5.26E-17,3.98E-142,0
CISMEY01_clean,2.1448,3.39099,919.313,0.36668,,1.64204385,,0,1.23E-21,1.65E-19
CISMEY_clean,2.1207,3.35688,917.664,0.37338,,1.956121914,,0,5.63E-22,2.28E-23
CISMIC_clean,2.38226,3.23623,905.39,0.37016,,0.965523384,,0,0,1.56E-30
CISXEJ_clean,4.85041,8.33389,9753.63,0.50872,,3.25765218,,0,7.71E-87,0
CITXUZ_clean,2.52342,5.26538,3054.8,0.5027,,0.977871247,,1.39E-264,2.77E-108,0
CITZIP_manual,5.43625,7.32376,1255.01,0.50964,,0.288648121,,6.30E-08,0,0
CIVTEH_clean,3.60684,4.97443,2917.24,0.51868,,1.173462701,,0,1.40E-20,4.45E-08
CIWREG_clean,6.65474,8.09272,17068.2,0.64412,,0.47726753,,0,1.34E-08,0
CIWRIK_clean,7.4232,8.16415,17068.6,0.64254,,0.500670869,,0,0,0
CIWROQ_clean,6.80329,8.08405,17365.3,0.64974,,0.440358965,,0,3.97E-09,0
CIWRUW_clean,6.94402,8.01707,17024.3,0.64482,,0.434793118,,0,7.87E-09,0
CIWSAD_clean,6.71139,7.99079,17204.3,0.64604,,0.427996902,,0,5.91E-09,0
CIWYUD_clean,4.51455,6.84474,1267.65,0.52236,,0.487731851,,0,0,2.35E-08
CIWZEP_clean,5.13931,5.89934,10702.5,0.45766,,1.2585276,,6.73E-08,0,4.56E-13
CIWZIT_clean,5.25199,6.56185,10881.3,0.4633,,1.093855649,,4.68E-08,0,7.78E-10
CIXBUH_clean,7.4598,8.06427,17131.3,0.64112,,0.472331964,,1.16E-08,0,0
CIXCAO_clean,7.24789,7.98516,17429.5,0.65102,,0.41810305,,0,3.45E-09,0
CIXCOC_clean,3.92305,4.71676,1852.6,0.32804,,0.421625203,,0,0,1.44E-07
CIYZUG_clean,3.27192,4.04296,1609.48,0.35996,,0.583194835,,0,2.55E-08,0
CIZLEE_clean,2.40055,2.99344,819.479,0.28874,,0.089101938,,8.66E-13,0,0
CIZMIJ_clean,4.52344,6.39043,1460.32,0.6571,,0.788876994,,2.03E-08,4.60E-09,1.36E-08
CIZPOS_clean,3.66917,10.83273,11465.8,0.6355,,1.657933907,,0,0,2.61E-09
CIZTIP_clean,2.14964,4.10863,13961.6,0.43572,,4.386784522,,0,0,0
cm0623918si20061006_115210_clean,2.30613,4.63566,5032.36,0.51682,,2.709479339,,0,5.27E-79,0
cm071462f-file004_clean,5.29176,6.30562,3854.62,0.61528,,0.382080071,,1.03E-07,1.06E-07,7.42E-09
cm1008587_si_003_clean,5.68626,5.95017,698.94,0.56592,,0.387438073,,3.61E-08,1.81E-298,4.97E-299
cm202876r_si_002_clean,3.46158,4.5709,2021.78,0.44556,,13.20177929,,0,3.64E-09,0
cm301726k_si_004_clean,6.59582,7.40668,1962.6,0.4544,,0.583675279,,0,0,1.77E-08
cm303749m_si_001_clean,8.39872,11.23388,2512.5,0.74242,,0.161827884,,3.29E-08,5.32E-09,4.96E-09
cm303749m_si_002_clean,10.27794,11.59771,2786.99,0.7674,,0.107135555,,7.54E-09,2.65E-09,9.07E-09
cm500700z_si_002_clean,4.41394,5.96636,4257.27,0.64378,,0.57949882,,2.28E-08,4.67E-08,3.16E-14
cm500700z_si_003_clean,4.76885,6.91844,18750.5,0.5957,,0.509398252,,0,0,0
cm501138g_si_002_clean,6.40503,12.97281,4532.91,0.7081,,0.666563722,,8.08E-10,2.27E-09,1.96E-09
cm501138g_si_003_clean,2.87413,11.04578,4556.37,0.51324,,1074.054128,,0,0,0
cm501138g_si_004_clean,3.25332,11.08989,4555.56,0.5234,,10.0277272,,0,0,0
cm501138g_si_005_clean,6.26409,12.88772,4521.86,0.70756,,0.619479683,,1.17E-09,2.46E-09,2.46E-09
cm501138g_si_006_clean,6.34111,12.89781,4560.19,0.70866,,0.595917407,,1.02E-09,2.49E-09,2.47E-09
cm501138g_si_008_clean,6.32031,12.87604,4539.72,0.70806,,0.602857263,,1.06E-09,2.25E-09,2.49E-09
cm501138g_si_009_clean,6.39343,12.8869,4571.89,0.70896,,0.600842315,,9.42E-10,2.25E-09,2.27E-09
cm501138g_si_010_clean,6.41677,12.89438,4562.03,0.70876,,0.625776459,,9.01E-10,2.16E-09,2.02E-09
cm501138g_si_011_clean,6.38857,12.95073,4587.29,0.7099,,0.563065956,,1.07E-09,2.46E-09,2.66E-09
cm501138g_si_012_clean,6.4004,12.92348,4548.44,0.70848,,0.644287503,,1.85E-09,1.95E-09,2.34E-09
cm503311x_alf100K_clean,6.59506,7.00205,1417.41,0.60418,,0.500150341,,3.76E-08,2.18E-89,1.38E-89
cm503311x_alf11K_clean,6.60467,7.01466,1415.26,0.59984,,0.480771879,,3.73E-08,1.22E-91,1.31E-91
cm503311x_alf125K_clean,6.7737,7.09821,1418.94,0.6057,,0.494478249,,3.32E-08,8.33E-90,2.43E-88
cm503311x_alf150K_clean,6.9522,7.20014,1421.55,0.60526,,0.499190763,,5.14E-08,2.05E-74,1.49E-88
cm503311x_alf175K_clean,7.08696,7.30934,1422.16,0.60388,,0.508776714,,5.52E-08,3.81E-75,5.84E-96
cm503311x_alf200K_clean,7.0888,7.31325,1421.18,0.60502,,0.500317478,,4.05E-08,1.05E-97,1.04E-91
cm503311x_alf225K_clean,7.11465,7.33694,1420.17,0.6038,,0.498973059,,3.74E-08,1.27E-100,0
cm503311x_alf250K_clean,7.12322,7.34671,1420.03,0.60512,,0.506487633,,3.17E-08,9.98E-99,0
cm503311x_alf275K_clean,7.09941,7.3249,1419.3,0.60598,,0.514878604,,3.10E-08,2.79E-94,0
cm503311x_alf290K_clean,7.06955,7.29449,1418.82,0.60548,,0.506164314,,3.41E-08,6.04E-98,0
cm503311x_alf300K_clean,7.05263,7.28138,1418.9,0.60496,,0.519202495,,3.19E-08,1.36E-95,0
cm503311x_alf325K_clean,7.0944,7.32198,1418.44,0.60354,,0.505261053,,3.13E-08,4.70E-98,0
cm503311x_alf350K_clean,7.08191,7.36243,1418.11,0.60274,,0.497774717,,3.21E-08,4.63E-69,0
cm503311x_alf375K_clean,7.04892,7.35785,1417.95,0.60134,,0.487614359,,3.18E-08,9.84E-70,0
cm503311x_alf400K_clean,7.07744,7.34956,1417.76,0.60272,,0.506780376,,3.18E-08,1.78E-69,3.94E-86
cm503311x_alf40K_clean,6.57063,7.01124,1415.19,0.59984,,0.478100933,,3.56E-08,6.63E-94,1.35E-94
cm503311x_alf425K_clean,7.0714,7.32933,1417.91,0.60306,,0.50543051,,3.79E-08,4.89E-98,1.80E-88
cm503311x_alf450K_clean,7.07519,7.33555,1417.64,0.60256,,0.495222174,,3.18E-08,2.99E-70,1.27E-84
cm503311x_alf475K_clean,7.11927,7.35724,1417.42,0.60522,,0.513969543,,2.96E-08,2.66E-68,2.84E-85
cm503311x_alf500K_clean,7.09314,7.39051,1417.54,0.60328,,0.490841171,,3.16E-08,5.67E-69,1.00E-85
cm503311x_alf70K_clean,6.59224,7.01381,1415.41,0.60048,,0.488819714,,3.75E-08,8.70E-90,2.29E-89
cm503311x_aloh150K_clean,6.7605,7.09498,1419.64,0.6033,,0.485806056,,3.21E-08,1.59E-66,3.22E-89
cm503311x_aloh175K_clean,6.74529,7.07732,1419.8,0.603,,0.479816881,,3.25E-08,1.25E-67,3.92E-90
cm503311x_aloh200K_clean,6.78549,7.10846,1420.15,0.60316,,0.47335105,,3.35E-08,1.57E-67,1.49E-90
cm503311x_aloh225K_clean,6.78097,7.08904,1420.47,0.60352,,0.479436329,,3.16E-08,2.59E-66,8.54E-89
cm503311x_aloh250K_clean,6.77125,7.10102,1420.74,0.60376,,0.48426336,,3.14E-08,8.59E-66,1.11E-87
cm503311x_aloh275K_clean,6.75946,7.09398,1421.03,0.60416,,0.488160198,,3.09E-08,2.92E-65,4.64E-86
cm503311x_aloh300K_clean,6.78686,7.1116,1421.32,0.60316,,0.469731428,,3.40E-08,1.66E-68,1.87E-91
cm503311x_aloh325K_clean,6.82898,7.11302,1421.66,0.60304,,0.469268332,,3.51E-08,7.49E-90,1.27E-89
cm503311x_aloh350K_clean,6.81328,7.12602,1422.01,0.60338,,0.471357707,,3.26E-08,3.54E-90,2.03E-89
cm503311x_aloh375K_clean,6.80387,7.12088,1422.34,0.60478,,0.483622279,,3.15E-08,4.49E-87,2.33E-86
cm503311x_aloh400K_clean,6.78193,7.09896,1422.68,0.60436,,0.489992852,,3.23E-08,4.54E-88,2.57E-87
cm503311x_aloh425K_clean,6.80226,7.12343,1423.04,0.60468,,0.482333458,,3.31E-08,1.18E-87,5.45E-87
cm503311x_aloh450K_clean,6.79094,7.11013,1423.35,0.60484,,0.485998947,,3.27E-08,2.44E-87,2.60E-86
cm503311x_aloh475K_clean,6.79686,7.11763,1423.6,0.60508,,0.486315782,,3.28E-08,2.01E-86,9.51E-86
cm503311x_aloh500K_clean,6.78056,7.09961,1423.81,0.60512,,0.49284693,,3.20E-08,3.63E-86,3.27E-85
cm503311x_F-mil-53-Al-lp-mono_clean,6.26259,6.57891,2871.39,0.5817,,0.881238657,,8.71E-08,0,0
cm503311x_F-mil-53-Al-lp-ortho_clean,6.25933,6.57635,2878.84,0.58334,,0.875828057,,8.37E-08,0,0
cm503311x_F-mil-53-Al-np_clean,2.44837,2.61825,3688.79,0.35448,,0.092554761,,0,0,4.56E-08
cm503311x_OH-mil-53-Al-lp-ortho_clean,6.24901,6.63785,2913.5,0.5752,,0.734077577,,1.88E-07,0,0
cm503767r_cm503767r_si_002_clean,10.98304,11.53659,15796.4,0.58168,,0.748195003,,0,0,1.18E-07
cm504350q_si_002_clean,3.79877,5.81733,15654.2,0.49758,,2.762194566,,0,0,0
cm8027687_si_002_clean,2.4702,4.92287,13284.7,0.48056,,4.554779987,,0,0,2.94E-23
cm901983a_si_001_clean,11.50034,27.77914,92100.5,0.7496,,62.90187431,,0,0,0
COBWEV_clean,3.99856,5.45053,3292.46,0.4503,,0.154897602,,0,3.77E-08,1.85E-280
COCMAJ_clean,7.83719,8.5894,10350.2,0.74644,,0.072128723,,8.25E-08,5.36E-08,2.73E-17
COCMOY_clean,5.64413,15.32204,9025.41,0.76218,,0.056679711,,2.05E-07,2.05E-07,6.27E-08
COCMUE_clean,6.67847,10.4022,49451.5,0.74548,,0.089426946,,0,0,0
COCNAL_clean,6.36397,10.64369,25274.2,0.75362,,0.087459014,,0,0,0
COCNEP_clean,6.33379,9.89225,47401,0.7375,,0.105452972,,0,0,0
CODDAA_clean,2.52479,3.44789,1073.62,0.35108,,0.106181244,,0,0,1.99E-53
CODFEH_clean,3.18087,3.44869,834.396,0.47012,,0.670455218,,0,0,1.05E-07
CODFUX_clean,3.28345,4.32321,2102.69,0.55006,,2.017258836,,1.29E-07,0,0
CODGAE_clean,3.02021,6.81914,2512.33,0.54418,,24.51695027,,0,7.75E-08,6.72E-59
CODJUC_clean,2.21331,3.38885,3121.39,0.32918,,4.416992715,,0,0,0
CODKOX_clean,2.40505,3.10403,1676.72,0.3157,,0.323043122,,3.65E-15,0,0
CODMUF_clean,3.02911,4.07999,1959.97,0.5438,,0.529725817,,0,9.41E-13,2.46E-08
CODNAM_clean,3.86132,4.35795,2096.32,0.57336,,0.528495832,,9.23E-08,0,1.27E-07
CODQOD_clean,2.43094,3.1639,1729.36,0.33112,,0.26473327,,8.50E-14,0,0
CODQUJ_clean,2.37879,3.04185,1694.22,0.31276,,0.286381492,,3.83E-16,0,0
CODROD_clean,3.36721,4.30267,1051.43,0.48496,,0.601823919,,3.15E-36,1.99E-32,0
CODRUJ_clean,3.32889,4.30944,1044.08,0.48576,,0.654171661,,2.69E-34,2.94E-34,0
CODSAR_clean,2.54574,3.051,1666.49,0.30808,,0.477934453,,6.67E-11,0,0
CODSOF_clean,2.98384,3.87105,2817.29,0.35228,,3.316955585,,0,0,1.85E-09
CODSUL_clean,3.67056,6.23619,4345.81,0.44182,,0.420620026,,0,0,4.62E-08
CODVAU_clean,4.26296,5.18989,5085,0.43076,,5541.592667,,3.40E-09,0,0
COGKEP_clean,2.76031,6.58054,2388.33,0.53468,,0.400799356,,1.89E-09,5.43E-10,0
COGNAO_clean,4.20783,5.65031,12021.4,0.53808,,0.528160871,,9.32E-08,7.21E-08,7.30E-08
COJGEO_clean,4.51177,5.69281,7103.98,0.60838,,0.736763163,,7.21E-09,2.42E-53,0
COJHIT_clean,9.30076,10.01444,2458.09,0.69844,,0.134224272,,8.39E-93,3.32E-133,8.61E-08
COJMIZ_clean,4.8351,8.21372,5899.48,0.58264,,0.706573717,,3.47E-08,0,5.49E-08
COJMOF02_clean,6.32173,7.69532,12041.6,0.6081,,0.645750919,,8.06E-09,0,0
COKDAI_clean,6.6326,7.05511,2638.14,0.54084,,0.07943475,,6.86E-08,0,2.11E-172
COKFAK_clean,3.18115,5.06618,2650.28,0.43908,,2.413960608,,1.49E-09,0,0
COKJIX_clean,2.83063,4.39618,1475.74,0.38002,,9.53139613,,0,0,1.65E-09
COKJOD_clean,2.85792,4.39028,1483.48,0.3768,,9.215634617,,0,0,2.26E-09
COKMEW_clean,10.90145,11.66363,4021.46,0.6523,,0.122812035,,0,0,1.64E-08
COKMIA_clean,10.73555,11.52287,3976.4,0.64842,,0.129958105,,0,0,1.29E-08
COKMOG_clean,10.61578,11.34183,3625.81,0.61012,,0.132760951,,0,0,2.37E-08
COKMUM_clean,10.91015,11.74815,4227.92,0.66236,,0.097408197,,0,0,1.60E-08
COKNAT_clean,10.68097,11.5415,3953.84,0.64908,,0.186818141,,0,0,2.97E-08
COKPEZ_clean,10.64888,11.49101,3982.67,0.64932,,0.186582571,,0,0,1.59E-08
COKPID_clean,10.78503,11.59722,4016.79,0.65084,,0.12486206,,0,0,1.35E-08
COKPOJ_clean,10.73718,11.52783,3970.48,0.65056,,0.135859041,,0,0,2.65E-08
COKPUP_clean,10.93429,11.51222,3939.43,0.65206,,0.192662775,,0,0,3.32E-08
COKQAW_clean,10.5386,11.29398,3646.8,0.62374,,0.093893459,,0,0,1.60E-08
COKQEA_clean,10.92695,11.64919,3986.54,0.6508,,0.128157201,,0,0,2.59E-08
COKQIE_clean,11.02547,11.57452,4052.16,0.65338,,0.114091708,,0,0,2.94E-08
COKQOK_clean,11.02757,11.63054,3958.6,0.65076,,0.185280314,,0,0,1.38E-08
COKROL_clean,4.26721,5.05962,5613.43,0.51062,,8.2478303,,3.58E-09,0,0
COKRUR_clean,5.31156,8.49603,39560,0.60664,,1.419570269,,0,0,0
COLPEA_clean,2.1639,3.76208,4033.33,0.37404,,4.479166341,,0,0,0
COMDOY_clean,5.07447,5.95687,678.992,0.5572,,1.397577302,,4.57E-08,0,0
COMGUH_clean,2.37403,4.53506,1864.81,0.3601,,0.129735611,,2.07E-31,0,0
COMNAU_clean,3.32605,9.41096,33153.8,0.50058,,8.901266519,,0,0,0
comp2_clean,5.31655,6.0197,5858.29,0.45692,,0.299198055,,1.01E-18,0,0
COMZAH_clean,2.85363,4.51994,5967.44,0.43876,,1.759234649,,0,2.44E-10,6.28E-98
COMZIP_clean,2.51558,4.3647,2688.21,0.42506,,10.86173371,,5.70E-53,0,2.12E-17
COPXOV_clean,3.33093,4.64972,7311.58,0.3822,,2.4332803,,0,0,0
COQGAS_clean,5.82513,7.33008,5412.86,0.47668,,0.295396333,,0,0,2.25E-270
COQHUN_clean,5.14127,7.27384,5307.17,0.53898,,1.671150484,,0,4.45E-09,6.56E-09
COQJAV_clean,2.56879,5.01105,8710.99,0.43734,,3.608734057,,0,0,0
COQJID_clean,3.86969,5.42161,5353,0.47202,,4.390898357,,0,4.82E-08,8.23E-09
COQJOJ_clean,4.98882,6.991,5259.21,0.51502,,3.7782453,,9.38E-10,1.86E-09,1.17E-08
COQJUP_clean,4.24736,6.98977,5391.62,0.51062,,6.820325678,,0,1.11E-09,2.97E-09
COQLAX_clean,3.12497,6.28645,31966.8,0.39688,,3.913052645,,0,0,8.15E-09
COQNIF_clean,5.71042,8.15241,1285.95,0.6099,,5.886180189,,1.02E-09,6.48E-09,1.88E-10
COQTEJ_clean,6.57949,7.3371,6082.58,0.69218,,0.185558333,,1.32E-07,0,5.92E-08
CORZIU_clean,11.53121,12.17868,6590.41,0.74268,,0.186234446,,2.48E-08,3.64E-08,2.05E-08
COSMII_clean,7.06518,8.4716,4023.8,0.68554,,0.518519248,,9.50E-08,2.38E-08,2.37E-08
COSWEO_clean,2.69291,4.07286,2887.49,0.35002,,0.242447327,,0,4.50E-10,0
COTVIS_clean,2.84309,4.9741,4562.38,0.54602,,0.753776914,,7.64E-26,0,6.86E-156
COTVOY_clean,3.99152,5.3936,4366.5,0.56308,,0.974053418,,1.50E-07,0,6.72E-17
COTVUE_clean,4.10517,5.4839,4421.91,0.57292,,0.854337759,,1.09E-07,0,3.07E-17
COTXEQ_clean,3.99878,4.66186,5487.64,0.483,,2.684263714,,0,0,1.92E-07
COTXIU_clean,3.99779,5.15128,5476.59,0.48112,,2.838473341,,0,0,1.54E-07
COTXOA_clean,3.96874,4.92382,5470.99,0.4784,,2.973316641,,0,0,1.56E-07
COTYIV_clean,7.7418,9.44848,31702.4,0.65664,,0.136966042,,0,0,0
COVJAA_clean,2.38152,4.73648,5116.39,0.4372,,0.411209088,,0,5.02E-24,0
COVPAG_clean,4.15873,5.49006,4746.4,0.46136,,1.434491227,,0,0,1.32E-08
COVYIX_clean,1.95465,3.47776,1679.72,0.33876,,0.291991304,,0,0,5.65E-61
COWBEX_clean,4.57961,5.41234,3314.32,0.40502,,0.276056443,,0,9.08E-08,0
COWDEZ_clean,4.11867,8.80857,9294.93,0.43572,,1.976872282,,8.09E-09,3.05E-09,0
COWMAD_clean,5.30969,6.49513,2040.37,0.6249,,0.111315447,,8.90E-08,0,5.59E-08
COWMEH_clean,5.28285,6.49919,2048.56,0.6221,,0.108169588,,8.86E-08,0,6.06E-08
COWMIL_clean,5.29566,6.48514,2028.21,0.6304,,0.115149427,,3.46E-08,0,6.11E-08
COWMOR_clean,5.2045,6.45934,2026.46,0.62686,,0.114307179,,8.77E-08,0,5.75E-08
COWMUX_clean,5.22265,6.44648,2014.43,0.6146,,0.11745459,,8.68E-08,0,5.71E-08
COWRAJ_clean,2.63607,5.25155,5742.2,0.49028,,6.383445503,,0,0,2.55E-10
COWREN_clean,2.66051,4.03931,5742.2,0.454,,8.729688404,,0,0,2.00E-11
COWRIR_clean,2.68827,5.08143,5742.2,0.4911,,5.613832105,,0,0,2.63E-10
COWROX_clean,3.15464,5.32304,5742.2,0.49884,,6.504432387,,0,0,4.99E-09
COWXOC_clean,2.37007,5.55655,4747.58,0.45418,,0.528915231,,0,0,8.60E-13
COXCUP_clean,2.78594,3.52646,4142.9,0.33654,,2.587985586,,0,0,4.06E-09
COXDIE_clean,4.68372,5.5909,4967.15,0.4415,,0.70417922,,0,0,5.50E-08
COXHED_clean,8.30342,8.63085,3689.31,0.78464,,0.010563341,,1.08E-07,1.09E-07,1.08E-07
COXHIH_clean,8.1693,8.49465,3588.96,0.78084,,0.011075991,,1.04E-07,1.04E-07,1.09E-07
COXHON_clean,8.395,8.71951,3786.42,0.7884,,0.010054564,,1.13E-07,9.60E-08,9.56E-08
COXQUB_clean,2.57356,3.63018,1404.63,0.39692,,1.43425787,,0,2.22E-34,8.27E-17
COXXIX_clean,3.87729,5.50654,1904.15,0.53448,,0.093553483,,0,1.07E-116,0
COYCEZ_clean,3.62023,6.14237,4740.23,0.56806,,0.406235959,,8.74E-09,6.51E-09,0
COYCID_clean,6.54865,9.07555,5651.74,0.6676,,0.132998435,,4.71E-09,0,7.84E-35
COYMIN_clean,5.17352,5.88466,8951.65,0.51622,,0.817657082,,6.76E-13,5.74E-13,8.29E-08
COYTEQ_clean,3.21118,3.71863,1739.18,0.40846,,12.99462949,,2.91E-08,0,0
COYTIU_clean,3.16302,3.71518,1736.43,0.40512,,12.34898028,,3.38E-08,0,0
COYTOA_clean,3.05861,3.69883,1692.97,0.38432,,13.7795282,,0,0,0
COYTUG01_clean,2.61684,4.86651,2848.64,0.43398,,2.082697335,,5.65E-24,0,1.13E-97
COYTUG_clean,2.69394,4.89736,2848.64,0.43476,,2.039154641,,7.24E-90,0,1.59E-93
COYVAO01_clean,2.93052,5.04173,2821.97,0.4467,,2.206459847,,4.34E-105,0,3.25E-60
COYVAO_clean,2.9242,5.06945,2821.97,0.44784,,2.202743019,,1.86E-104,0,6.17E-61
COYVES01_clean,2.91294,4.82706,2809.2,0.44858,,2.241247879,,1.32E-110,0,1.21E-112
COYVES_clean,2.93528,4.84476,2809.2,0.44934,,2.241300726,,1.49E-108,0,2.03E-110
COZMUA_clean,5.30721,10.17705,6696.06,0.72936,,0.122689512,,1.47E-08,4.00E-08,1.08E-09
CSCNCA01_clean,3.13384,5.78252,2091.75,0.61712,,0.042223232,,2.46E-08,2.38E-08,2.44E-08
CSMNOX_clean,2.26612,2.86212,446.888,0.33986,,0.002246469,,8.12E-16,0,4.97E-58
CUBHOY_clean,4.20069,7.82728,5874.21,0.53446,,0.183838725,,0,0,5.01E-08
CUBKUF_clean,2.38323,4.13206,2868.41,0.48996,,3.259872353,,2.10E-95,0,0
CUCKIV_charged,3.97242,4.50932,2173.3,0.5029,,0.429474087,,6.47E-08,0,0
CUCSAU_clean,3.87295,5.18457,2860.15,0.48334,,0.379477714,,0,6.68E-21,8.88E-10
CUCTAX_clean,3.44815,3.9666,6194.84,0.38976,,3.938134923,,0,0,1.31E-07
CUFDUD_clean,5.33631,6.59323,12499.3,0.68122,,0.257258991,,0,1.03E-07,1.66E-07
CUFFAL_clean,5.52928,6.60631,12784.4,0.6876,,0.220110134,,0,1.62E-07,0
CUFFEP_clean,5.49353,6.16593,8569.69,0.69814,,0.142922945,,0,2.46E-07,2.31E-07
CUFGIV_clean,4.91832,6.02139,15015.5,0.6741,,0.210561077,,0,1.40E-08,5.42E-08
CUFGOB_clean,3.01047,3.83252,3034.26,0.3948,,0.037676413,,0,0,1.39E-08
CUFGUH_clean,3.01525,3.82478,3022.41,0.40028,,0.037104107,,0,0,1.09E-08
CUFJUK_clean,2.33669,2.97755,1118.19,0.33046,,0.08296887,,0,5.90E-20,0
CUFQUR_clean,3.86637,5.66413,13839.3,0.50376,,0.117575462,,0,0,0
CUGFAN01_clean,2.47052,3.34373,898.421,0.37326,,0.158762239,,0,2.59E-13,0
CUGFAN_clean,2.49835,3.67841,927.912,0.39252,,0.223937796,,0,2.52E-12,0
CUGFOB_clean,2.53761,3.57411,956.608,0.4107,,0.546164503,,0,0,2.21E-12
CUGFUH_clean,2.48866,3.39257,916.188,0.38646,,0.213240191,,0,0,5.43E-16
CUGLIB_clean,5.12139,5.18949,2874.59,0.32992,,0.955905106,,0,0,8.77E-09
CUGLTM01_clean,2.0586,2.86505,822.786,0.35728,,0.019723865,,1.20E-27,0,0
CUGLTM02_clean,1.98965,2.76182,824.586,0.35134,,0.016712761,,2.81E-34,0,0
CUGLTM_clean,2.10006,2.76781,830.339,0.35714,,0.013718538,,1.02E-26,0,0
CUGQEC_clean,4.27653,5.71279,1603.85,0.6134,,0.13699965,,0,0,1.35E-07
CUGVUW_clean,4.42737,6.2768,1921.78,0.40366,,0.355032337,,0,0,0
CUGVUX_clean,2.71393,3.56367,2145.74,0.353,,0.886591706,,0,0,9.19E-10
CUGXAF_clean,3.74399,9.00153,37043.1,0.60484,,0.839001459,,0,0,0
CUGYIO_clean,5.36012,5.46479,2905.04,0.33456,,0.896686264,,0,0,9.33E-10
CUGYOU_clean,7.5921,7.60499,3065.91,0.41494,,0.098743333,,0,0,2.71E-08
CUGYUA_clean,4.2184,4.41887,1337.57,0.32348,,0.33068202,,0,0,6.94E-10
CUGZAH_clean,7.52725,7.54211,3077.98,0.37364,,0.170005273,,0,0,1.89E-07
CUHLUO_clean,3.84365,5.09273,3862.27,0.48068,,67.9223373,,5.91E-08,8.55E-10,0
CUIMDZ01_clean_h,3.40479,4.67561,1181.08,0.3207,,1.577376748,,3.01E-08,0,0
CUKVUA_clean,2.35366,3.36738,1786.18,0.39498,,0.374034845,,1.36E-13,0,0
CUKXAJ_clean,3.23144,4.39436,2995.44,0.47558,,2.917019969,,0,0,3.53E-08
CUKXIR_clean,3.49449,3.94224,3221.47,0.51584,,0.984771969,,0,1.79E-41,8.06E-08
CUKXOW_clean,3.70988,4.61935,1577.52,0.50586,,0.731319891,,1.09E-08,5.46E-08,8.67E-17
CUKXUC_clean,3.74141,4.45937,1592.7,0.51696,,0.701548729,,2.46E-17,5.61E-08,1.21E-16
